Resource Title,Resource URL,Publisher,Country,,Description,First L2 Tag,Second L2 Tag,Third L2 Tag,Vetter,Reviewed?,L2 Tagger,Technical (Y/N),Notes
Characteristics and Outcomes Among US Patients Hospitalized for ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779926,JAMA,US,,"16 hours ago ... Key Points. Question What were the hospital discharge rates, demographic 
factors, and outcomes of hospitalization associated with the COVID-19 pandemic
 ...",,,,Bot,,,,
Trends in Filled Naloxone Prescriptions Before and During the ...,https://jamanetwork.com/journals/jama-health-forum/fullarticle/2779948,JAMA,US,,"3 days ago ... Substance use, including opioid use, increased during the COVID-19 pandemic. 
While overall emergency department visits decreased during the pandemic, ...",,,,Bot,,,,
Por qué los CDC miden la efectividad de la vacuna contra el COVID ...,https://espanol.cdc.gov/coronavirus/2019-ncov/vaccines/effectiveness/why-measure-effectiveness.html,espanol.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","Hace 7 horas ... Los CDC y otros socios continuarán evaluando cómo funcionan las vacunas 
contra el COVID-19 en condiciones reales. Conozca por qué los CDC miden la ...",,,,Bot,,,,
Báo cáo Nhân khẩu học chủng ngừa COVID-19 | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/distributing/demographics-vaccination-data.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","7 giờ trước ... Bộ theo dõi dữ liệu về COVID của CDC cung cấp dữ liệu chủng ngừa COVID-19 
tại Hoa Kỳ, bao gồm các đặc tính nhân khẩu học của người tiếp nhận chủng ...",,,,Bot,,,,
COVID-19 in Cambodia - Public Health Media Library - CDC,https://tools.cdc.gov/podcasts/download.asp?m=285740&c=422567,tools.cdc.gov,Unknown,,"16 hours ago ... If you must travel to Cambodia, get fully vaccinated before travel. All travelers 
should wear a mask, stay 6 feet from others, avoid crowds, and wash their hands.",,,,Bot,,,,
为什么CDC要衡量COVID-19疫苗的有效性,https://chinese.cdc.gov/coronavirus/2019-ncov/vaccines/effectiveness/why-measure-effectiveness.html,chinese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","8 hours ago ... 美国食品药品监督管理局（FDA）批准疫苗或授权疫苗的紧急使用之后，专家会
继续评估疫苗在现实情况下的效果。此类评估称为疫苗有效性（VE）研究，目的是
 ...",,,,Bot,,,,
CDC COVID-19 Travel Health Notices,https://wwwnc.cdc.gov/travel/noticescovid19,wwwnc.cdc.gov,Unknown,,"1 day ago ... As the COVID-19 situation around the world changes, CDC is monitoring COVID-
19 risk in destinations around the world and making travel recommendations.",,,,Bot,,,,
V-safe COVID-19 Vaccine Pregnancy Registry,"https://www.cdc.gov/widgets/micrositeCollectionViewer/index.html?chost=www.pbso.org&cpath=/news/corona-virus-information/&csearch=&chash=&ctitle=Corona%20Virus%20Information%20-%20Palm%20Beach%20County%20Sheriff%27s%20Office&wn=micrositeCollectionViewer&wf=/widgets/micrositeCollectionViewer/&wid=micrositeCollectionViewer1&mMode=widget&mPage=&mChannel=&cdcCollectionid=403372&cdcTheme=theme-teal&cdcGeotag=%7B%27continent%27:%20%276255149%27,%20%27country%27:%20%276252001%27,%20%27state%27:%20%274155751%27,%20%27region%27:%20%274167510%27%20%7D&chashOptMode=out#!/detail/417793",CDC,US,,"1 day ago ... The registry is collecting health information from people who received COVID-19 
vaccination in the periconception period (within 30 days before last menstrual ...",,,,Bot,,,,
Lý do CDC đo lường hiệu quả của vắc-xin | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/effectiveness/why-measure-effectiveness.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","11 giờ trước ... CDC và các đối tác khác sẽ tiếp tục đánh giá tính hiệu quả của vắc-xin COVID-19 
trong các điều kiện thực tế. Tìm hiểu lý do CDC đo lường hiệu quả của ...",,,,Bot,,,,
COVID-19 By the Numbers | CDC,https://www.cdc.gov/coronavirus/2019-ncov/cdcresponse/by-the-numbers.html,CDC,US,"2/10/2020, 4:00:00 PM","1 day ago ... 277 COVID-19 studies published in CDC's Morbidity and Mortality Weekly Report 
(MMWR). petri dish icon. 430.5+ million COVID-19 tests conducted by public ...",,,,Bot,,,,
Clinical Care Quick Reference for COVID-19 | CDC,https://www.cdc.gov/coronavirus/2019-ncov/hcp/clinical-care-quick-reference.html,CDC,US,"2/10/2020, 4:00:00 PM","15 hours ago ... Healthcare providers, find key information and links to detailed guidance and 
CDC content pages related to clinical care of people with a suspected or 
confirmed ...",,,,Bot,,,,
接种您的COVID-19疫苗| CDC,https://chinese.cdc.gov/coronavirus/2019-ncov/vaccines/expect.html,chinese.cdc.gov,Unknown,"5/14/2021, 5:00:00 PM","3 days ago ... 获取建议，帮助您了解接种疫苗后会发生什么、您的提供者会给您什么信息以及您
可以使用什么资源监控您免疫接种后的健康状况。",,,,Bot,,,,
Vaccines for COVID-19 | CDC,https://www.cdc.gov/coronavirus/2019-ncov/vaccines/index.html,CDC,US,"2/10/2020, 4:00:00 PM","3 days ago ... Learn about COVID-19 vaccine planning, how vaccine recommendations will be 
made, and the work going into ensuring the safety of COVID-19 vaccines.",,,,Bot,,,,
Tiêm Vắc Xin Ngừa COVID-19 | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/expect.html,vietnamese.cdc.gov,Unknown,"5/14/2021, 5:00:00 PM","3 ngày trước ... Mỗi vắc-xin COVID-19 được cho phép có tờ thông tin riêng có chứa thông tin 
giúp quý vị hiểu rõ các nguy cơ và lợi ích của việc được chủng ngửa loại vắc-xin 
cụ ...",,,,Bot,,,,
Moderna COVID-19 Vaccine: Standing Orders for Administering ...,https://www.cdc.gov/vaccines/covid-19/info-by-product/moderna/downloads/standing-orders.pdf,CDC,US,,"3 days ago ... ○ Has not completed a COVID-19 vaccination series, regardless of brand. If 2 
doses of an mRNA vaccine have been administered or a single dose of Janssen.",,,,Bot,,,,
Vắc-xin ngừa COVID-19 cho trẻ em và thanh thiếu niên | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/adolescents.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","3 ngày trước ... CDC khuyến nghị tiêm chủng COVID-19 cho mọi người từ 12 tuổi trở lên ... Trẻ 
em từ 12 tuổi trở lên có thể tiêm vắc-xin ngừa COVID-19 của Pfizer-BioNTech.",,,,Bot,,,,
어린이와 청소년 대상 COVID-19 백신 | CDC,https://korean.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/adolescents.html,korean.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","3일 전 ... CDC는 COVID-19 예방을 위해 12세 이상의 모든 사람에게 COVID-19 백신 접종을 
권장합니다. 12세 이상 어린이는 화이자-바이오앤텍 COVID-19 백신을 맞을 수 ...",,,,Bot,,,,
Pfizer-BioNTech COVID-19 Vaccine Standing Orders for ...,https://www.cdc.gov/vaccines/covid-19/info-by-product/pfizer/downloads/standing-orders.pdf,CDC,US,,"3 days ago ... ○ Has not completed a COVID-19 vaccination series, regardless of brand. If 2 
doses of an mRNA vaccine have been administered or a single dose of Janssen.",,,,Bot,,,,
Vắc-xin ngừa COVID-19 | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/index.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","4 ngày trước ... Mọi người từ 12 tuổi trở lên hiện được khuyến nghị đi chủng ngừa COVID-19. 
Tiêm vắc-xin COVID-19 ngay khi quý vị có thể. Tiêm chủng là một công cụ vô ...",,,,Bot,,,,
Hệ Thống Báo Cáo Tác Dụng Phụ của Vắc-xin (VAERS) | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/safety/vaers.html,vietnamese.cdc.gov,Unknown,"5/13/2021, 5:00:00 PM","4 ngày trước ... Đó là một trong một số hệ thống mà CDC và Cơ quan quản lý thực phẩm và 
dược phẩm Hoa Kỳ (FDA) dùng để giúp đảm bảo tất cả vắc-xin COVID-19 đều 
an ...",,,,Bot,,,,
Technical Instructions for Mitigation of COVID-19 Among Cruise ...,https://www.cdc.gov/quarantine/cruise/management/technical-instructions-for-cruise-ships.html,CDC,US,"5/15/2021, 5:48:00 AM","4 days ago ... Provide guidance for cruise ship operations in the United States to help prevent, 
detect, and manage COVID-19 infections.",,,,Bot,,,,
Những điều cần lưu ý về vắc-xin đối với người có bệnh nền | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/underlying-conditions.html,vietnamese.cdc.gov,Unknown,"5/13/2021, 5:00:00 PM","4 ngày trước ... Nếu quý vị có bệnh nền, thông tin này có thể giúp quý vị đưa ra quyết định khi 
biết đầy đủ thông tin về việc tiêm ngừa COVID-19.",,,,Bot,,,,
Notificación de datos de vacunación contra el COVID-19 por ...,https://espanol.cdc.gov/coronavirus/2019-ncov/vaccines/distributing/reporting-counties.html,espanol.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","Hace 4 días ... La herramienta de seguimiento de datos del COVID-19 de los CDC ofrece datos 
sobre la vacunación contra el COVID-19 en los Estados Unidos. Este sitio ...",,,,Bot,,,,
Thông tin về dữ liệu giao và tiêm vắc-xin ngừa COVID-19 | CDC,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/distributing/about-vaccine-data.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","4 ngày trước ... Với một ngoại lệ, phân phối và giao vắc-xin COVID-19 và các vắc-xin thường quy 
khác được thực hiện qua hệ thống giao hàng Liên bang; Pfizer phân phối và ...",,,,Bot,,,,
Universal health care must be a priority — even amid COVID,https://www.nature.com/articles/d41586-021-01313-3,Nature,General,"5/17/2021, 5:00:00 PM","16 hours ago ... A focus on specific diseases has derailed efforts to achieve health care for all 
before. The world must not repeat that mistake with COVID-19.",,,,Bot,,,,
Phase 1 randomized trial of a plant-derived virus-like particle ...,https://www.nature.com/articles/s41591-021-01370-1,Nature,General,"5/17/2021, 5:00:00 PM","21 hours ago ... Phase 1 randomized trial of a plant-derived virus-like particle vaccine for COVID-
19. Brian J. Ward ...",,,,Bot,,,,
COVID-19 vaccines: progress and understanding on quality control ...,https://www.nature.com/articles/s41392-021-00621-4?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sigtrans%2Frss%2Fcurrent+%28Signal+Transduction+and+Targeted+Therapy%29,Nature,General,"5/17/2021, 5:00:00 PM","19 hours ago ... To accelerate the R&D progress of COVID-19 vaccines, the guidances on R&D of 
COVID-19 vaccine have been issued by National Regulatory Authorities or ...",,,,Bot,,,,
Systemic inflammatory syndrome in COVID-19–SISCoV study ...,https://www.nature.com/articles/s41390-021-01545-z?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+pr%2Frss%2Fcurrent+%28Pediatric+Research+-+Issue%29,Nature,General,"5/17/2021, 5:00:00 PM","1 day ago ... There has been a recent upsurge in the cases of Multisystem inflammatory 
syndrome in children (MIS-C) associated with Coronavirus disease (COVID-19).",,,,Bot,,,,
Ceftazidime is a potential drug to inhibit SARS-CoV-2 infection in ...,https://www.nature.com/articles/s41392-021-00619-y,Nature,General,"5/17/2021, 5:00:00 PM","21 hours ago ... Coronavirus disease 2019 (COVID-19) has spread globally as a severe 
pandemic, which is caused by a novel coronavirus named Severe Acute 
Respiratory ...",,,,Bot,,,,
HOW COVID IS CHANGING THE STUDY OF HUMAN BEHAVIOUR,https://media.nature.com/original/magazine-assets/d41586-021-01317-z/d41586-021-01317-z.pdf,media.nature.com,Unknown,,"20 hours ago ... COVID-19 pandemic, Jay Van. Bavel, a psychologist at New York. University, 
wanted to identify the social factors that best predict a person's support for public-
 ...",,,,Bot,,,,
"A rapid, accurate, scalable, and portable testing system for COVID ...",https://www.nature.com/articles/s41467-021-23185-x,Nature,General,"5/17/2021, 5:00:00 PM","20 hours ago ... The SPOT assay comprises a one-pot reverse transcriptase-loop-mediated 
isothermal amplification (RT-LAMP) followed by PfAgo-based target sequence ...",,,,Bot,,,,
Equitable allocation of COVID-19 vaccines in the United States ...,https://go.nature.com/3fqtiET,go.nature.com,Unknown,"5/17/2021, 5:00:00 PM","10 hours ago ... We evaluated whether jurisdictions adopted proposals to reduce inequity using 
disadvantage indices and related place-based measures. By 30 March 2021, 14
 ...",,,,Bot,,,,
Daily briefing: Why it took so long to grapple with airborne COVID-19,https://www.nature.com/articles/d41586-021-01342-y,Nature,General,"5/16/2021, 5:00:00 PM","1 day ago ... The struggle to overturn outdated guidance about airborne coronavirus, an '
extinction event' in our gut bacteria and a T-cell test for SARS-CoV-2.",,,,Bot,,,,
Serological surveys to inform SARS-CoV-2 epidemic curve: a cross ...,https://www.nature.com/articles/s41598-021-89877-y,Nature,General,"5/17/2021, 5:00:00 PM","21 hours ago ... The study found a high seroprevalence against COVID-19 in urban Odisha as 
well as high numbers of asymptomatic infections. The epidemic curves had a ...",,,,Bot,,,,
Preliminary Analysis of Association Between COVID-19 Vaccination ...,https://media.jamanetwork.com/news-item/preliminary-analysis-of-association-between-covid-19-vaccination-sudden-hearing-loss/,media.jamanetwork.com,Unknown,,"5 hours ago ... JAMA Otolaryngology–Head & Neck Surgery. EMBARGOED FOR RELEASE: 11 
A.M. (ET), THURSDAY, MAY 20, 2021. Media advisory: The full article is linked ...",,,,Bot,,,,
Community Factors Associated With Telemedicine Use During the ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779940,JAMA,US,,"16 hours ago ... While telemedicine use grew rapidly during the COVID-19 pandemic, there was 
substantial geographic variation in uptake. What drives this variation is unclear.",,,,Bot,,,,
Efficacy of COVID-19 Vaccines Against Active Comparators or Inert ...,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2779741,JAMA,US,"5/17/2021, 12:00:00 AM","1 day ago ... To the Editor A recent Viewpoint stressed that, although placebos are essential 
for accurate evaluation of new drugs and strategies, placebo composition is freq.",,,,Bot,,,,
Trends in Home Birth Information Seeking in the United States and ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779930,JAMA,US,"5/3/2021, 12:00:00 AM","1 day ago ... COVID-19 has affected birthing practices on a global scale. Partners ... behaviors 
across the United States and United Kingdom during the COVID-19 pandemic.",,,,Bot,,,,
코로나바이러스 감염증 2019(COVID-19) | CDC,https://korean.cdc.gov/coronavirus/2019-ncov/index.html,korean.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","7시간 전 ... 유의 사항:이 웹 사이트는 수시로 업데이트됩니다. 일부 내용은 모든 내용이 번역될 
때까지 영어로 기재되어 있을 수 있습니다. 백신 접종을 완전히 완료한 경우.",,,,Bot,,,,
COVID-19 Vaccine Training Modules,https://www2.cdc.gov/vaccines/ed/covid19/index.asp,www2.cdc.gov,Unknown,Invalid Date,"1 day ago ... COVID-19 Vaccine Training: General Overview of Immunization Best Practices 
for Healthcare Providers. Janssen Module Icon, Janssen COVID-19 Vaccine ...",,,,Bot,,,,
CDC가 백신 효율성을 측정하는 이유 | CDC,https://korean.cdc.gov/coronavirus/2019-ncov/vaccines/effectiveness/why-measure-effectiveness.html,korean.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","1일 전 ... 이 연구의 목적은 엄격한 임상 시험 환경이 아닌 실제 환경에서 백신이 사람을 보호
하는 데 얼마나 효과가 있는지 이해하는 것입니다. CDC 및 기타 파트너는 COVID-
19 ...",,,,Bot,,,,
Disparities in COVID-19 Vaccination Coverage Between Urban and ...,https://www.cdc.gov/mmwr/volumes/70/wr/mm7020e3.htm?s_cid=mm7020e3_w,CDC,US,"12/31/2020, 4:00:00 PM","15 hours ago ... COVID-19 vaccination coverage was lower in rural counties (38.9%) than in 
urban counties (45.7%); disparities persisted among age groups and by sex.",,,,Bot,,,,
Monitoring COVID-19 Vaccine Safety during Pregnancy,"https://www.cdc.gov/widgets/micrositeCollectionViewer/index.html?chost=www.pbso.org&cpath=/news/corona-virus-information/&csearch=&chash=&ctitle=Corona%20Virus%20Information%20-%20Palm%20Beach%20County%20Sheriff%27s%20Office&wn=micrositeCollectionViewer&wf=/widgets/micrositeCollectionViewer/&wid=micrositeCollectionViewer1&mMode=widget&mPage=&mChannel=&cdcCollectionid=403372&cdcTheme=theme-teal&cdcGeotag=%7B%27continent%27:%20%276255149%27,%20%27country%27:%20%276252001%27,%20%27state%27:%20%274155751%27,%20%27region%27:%20%274167510%27%20%7D&chashOptMode=out#!/detail/417477",CDC,US,,"1 day ago ... Pregnant and recently pregnant people are at an increased risk for severe illness 
from COVID-19 —including illness that requires hospitalization, intensive care, ...",,,,Bot,,,,
Understanding the Federal Retail Pharmacy Program for COVID-19 ...,"https://www.cdc.gov/TemplatePackage/contrib/widgets/micrositeCollectionViewerMed/index.html?chost=montvale.org&cpath=/virus&csearch=&chash=!%2Fdetail%2F416371&ctitle=The%20Borough%20of%20Montvale%20-%20Coronavirus%20Information&wn=micrositeCollectionViewerMed&wf=/TemplatePackage/contrib/widgets/micrositeCollectionViewerMed/&wid=micrositeCollectionViewerMed1&mMode=widget&mPage=&mChannel=&cdcCollectionid=403305&cdcTheme=theme1&cdcGeotag={'continent':%20'6255149',%20'country':%20'6252001',%20'state':%20'5101760',%20'region':%20'5101090'%20}&cdcDataid=404908&chashOptMode=out#!/detail/416371",CDC,US,,"1 day ago ... As the supply of vaccine has increased, so has the number of retail locations 
providing COVID-19 vaccination. Pharmacy partners use this supply to vaccinate
 ...",,,,Bot,,,,
Quick Start Guide to Vaccinating Essential Workers | CDC,https://www.cdc.gov/vaccines/covid-19/health-departments/essential-workers/index.html,CDC,US,"5/16/2021, 7:47:30 PM","1 day ago ... Workers, who are vital for keeping necessary services and resources open and 
available, should continue to be a focus of COVID-19 vaccination efforts, ...",,,,Bot,,,,
Search our Job Opportunities at CDC,https://jobs.cdc.gov/COVID19-jobs,jobs.cdc.gov,Unknown,,"1 day ago ... Found 1 Results for Jobs. Filters. Filtered by. COVID-19. Quality Assurance 
Specialist. Atlanta, Georgia ...",,,,Bot,,,,
COVID-19 관련 목적지별 여행 권고사항 | CDC,https://korean.cdc.gov/coronavirus/2019-ncov/travelers/map-and-travel-notices.html,korean.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","2일 전 ... 유의 사항:이 웹 사이트는 수시로 업데이트됩니다. 일부 내용은 모든 내용이 번역될 
때까지 영어로 기재되어 있을 수 있습니다. 백신 접종을 완전히 완료한 경우.",,,,Bot,,,,
CDC COVID-19 Travel Health Notice,https://wwwnc.cdc.gov/travel/noticescovid19,wwwnc.cdc.gov,Unknown,,"2 days ago ... As the COVID-19 situation around the world changes, CDC is monitoring COVID-
19 risk in destinations around the world and making travel recommendations.",,,,Bot,,,,
Coronavirus Disease 2019 (COVID-19),https://www.cdc.gov/socialmedia/videos/covid-19/ending-isolation/end-home-isolation-symptoms-transcript.pdf,CDC,US,,"2 days ago ... COVID-19: Spending time with friends and family who need to take extra 
precautions. When you visit friends & family who are at higher risk for severe 
illness ...",,,,Bot,,,,
Recomendaciones de viaje en relación con el COVID-19 por ...,https://espanol.cdc.gov/coronavirus/2019-ncov/travelers/map-and-travel-notices.html,espanol.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","Hace 2 días ... Avisos de salud para viajeros. Actualizado el 17 de mayo del 2021 a las 12:00 
a. m..",,,,Bot,,,,
Luego de recibir la vacuna completa | CDC,https://espanol.cdc.gov/coronavirus/2019-ncov/vaccines/fully-vaccinated.html,espanol.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","Hace 3 días ... Con base en lo que sabemos acerca de las vacunas contra el COVID-19, las 
personas con la vacuna completa pueden empezar a hacer algunas cosas que ...",,,,Bot,,,,
미국 COVID-19 백신 접종 프로그램: 관할권별 백신 경로 포트폴리오 ...,https://korean.cdc.gov/coronavirus/2019-ncov/vaccines/distributing/jurisdiction-portfolios.html,korean.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","3일 전 ... 이 보고서는 모든 미국인이 COVID-19 백신을 이용할 수 있게 하는 다양한 경로에 
대한 개요를 알려줍니다. 인구 변동으로 인해 관할권별 전달 및 투여 포트폴리오는 ...",,,,Bot,,,,
Chương trình tiêm chủng COVID-19 của Hoa Kỳ: Danh mục kênh ...,https://vietnamese.cdc.gov/coronavirus/2019-ncov/vaccines/distributing/jurisdiction-portfolios.html,vietnamese.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","3 ngày trước ... Vắc-xin theo khu vực phân quyền. Cập nhật ngày 16 tháng 5 năm 2021. Ngôn 
ngữ.",,,,Bot,,,,
Programa de vacunación contra el COVID-19 en los Estados Unidos ...,https://espanol.cdc.gov/coronavirus/2019-ncov/vaccines/distributing/jurisdiction-portfolios.html,espanol.cdc.gov,Unknown,"2/10/2020, 4:00:00 PM","Hace 3 días ... Es informe ofrece una visión general de los diferentes canales utilizados para 
garantizar que todos los estadounidenses tengan acceso a la vacuna contra el ...",,,,Bot,,,,
COVID-19 enters the expanding network of apolipoprotein E4 ...,https://phgkb.cdc.gov/PHGKB/phgHome.action?action=forward&dbsource=huge&id=338097,phgkb.cdc.gov,Unknown,"5/1/2021, 12:00:00 AM","4 days ago ... Affiliations. 1 Department of Biology, School of Medicine, National and 
Kapodistrian University of Athens, Athens, Greece; Embiodiagnostics Biology 
Research ...",,,,Bot,,,,
"Undocumented Migrants Reintroducing COVID-19, Yunnan ...",https://wwwnc.cdc.gov/eid/article/27/5/pdfs/20-4944-combined.pdf,wwwnc.cdc.gov,Unknown,,"4 days ago ... (COVID-19), the illness caused by severe acute respiratory syndrome 
coronavirus 2 (SARS-CoV-2), rely on rigorous quarantine measures. These mea-
.",,,,Bot,,,,
Key Information for Travelers to Cambodia - COVID-19 Notices,https://wwwnc.cdc.gov/travel/notices/covid-2/coronavirus-cambodia,wwwnc.cdc.gov,Unknown,,"4 days ago ... Travelers should avoid all travel to Cambodia. Because of the current situation in 
Cambodia even fully vaccinated travelers may be at risk for getting and 
spreading ...",,,,Bot,,,,
"Use of Genomics to Track Coronavirus Disease Outbreaks, New ...",https://phgkb.cdc.gov/PHGKB/phgHome.action?action=forward&dbsource=covUpdate&id=1126,phgkb.cdc.gov,Unknown,"5/1/2021, 12:00:00 AM","4 days ago ... Real-time genomic sequencing has played a major role in tracking the global 
spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), ...",,,,Bot,,,,
"NCT04887948 | Pneumococcal Disease, COVID-19, SARS-CoV-2 ...",https://www.pfizer.com/science/find-a-trial/nct04887948,Pfizer,General,,"2 days ago ... Study of the safety and immunogenicity of 20vPnC and a booster dose of 
BNT162b2 administered at the same visit or each vaccine given alone. FOR 
MORE ...",,,,Bot,,,,
NCT04535167 | Viral Disease Clinical Trial | pfpfizeruscom,https://www.pfizer.com/science/find-a-trial/nct04535167,Pfizer,General,,"2 days ago ... ... Tolerability, And Pharmacokinetics Following Single Ascending And Multiple 
Ascending Doses of PF-07304814 In Hospitalized Participants With COVID-19.",,,,Bot,,,,
"NCT04816669 | SARS-CoV-2 Infection, COVID-19 Clinical Trial ...",https://www.pfizer.com/science/find-a-trial/nct04816669,Pfizer,General,,"3 days ago ... This study will compare the safety and tolerability of lyophilized BNT162b2 
presented in single dose vials to those of frozen-liquid BNT162b2 in multidose 
vials ...",,,,Bot,,,,
Ready for Life | pfpfizeruscom,https://www.pfizer.com/science/vaccines/ready-for-life,Pfizer,General,,"5 days ago ... We know the importance of vaccination in the prevention of life-threatening 
illness. We are committed to protect through vaccination globally.",,,,Bot,,,,
NCT04880447 | COVID-19 Clinical Trial | pfpfizeruscom,https://www.pfizer.com/science/find-a-trial/nct04880447,Pfizer,General,,"6 days ago ... Post-marketing study, Cohort study of COMIRNATY vaccines. To collect 
information on adverse events and COVID-19 observed after vaccination with ...",,,,Bot,,,,
ورقة الحقائق الخاصة بمُتلقّي اللقاح | تصريح الاستخدام الطارئ | لقاح كو,https://www.modernatx.com/covid19vaccine-eua/eua-fact-sheet-recipients-arabic.pdf,www.modernatx.com,Unknown,,"منذ 4 يوم ... www.modernatx.com/covid 19vaccine-eua. حاقللا اذه يقلت لبق اهتفرعم كيلع 
بجي رومأ ؟19-ديفوك وه ام. ةرملا هذه .ةديدشلا ةداحلا ةيسفنتلا ةمزالتملاب طبترملا 2 
انوروك ...",,,,Bot,,,,
Mix-and-match COVID vaccines trigger potent immune response,https://www.nature.com/articles/d41586-021-01359-3,Nature,General,"5/18/2021, 5:00:00 PM","14 hours ago ... Preliminary results from a trial of more than 600 people are the first to show the 
benefits of combining different vaccines.",,,,Bot,,,,
COVID-19 non-pharmaceutical intervention portfolio effectiveness ...,https://www.nature.com/articles/s41598-021-88309-1,Nature,General,"5/18/2021, 5:00:00 PM","19 hours ago ... Non-pharmaceutical interventions (NPIs) including resource allocation, risk 
communication, social distancing and travel restriction, are mainstream actions to
 ...",,,,Bot,,,,
A super-potent tetramerized ACE2 protein displays enhanced ...,https://www.nature.com/articles/s41598-021-89957-z,Nature,General,"5/18/2021, 5:00:00 PM","21 hours ago ... Approaches are needed for therapy of the severe acute respiratory syndrome 
from SARS-CoV-2 coronavirus (COVID-19). Interfering with the interaction of viral
 ...",,,,Bot,,,,
Effect of COVID-19 on liver abnormalities: a systematic review and ...,https://www.nature.com/articles/s41598-021-89513-9,Nature,General,"5/18/2021, 5:00:00 PM","17 hours ago ... Emerging evidence suggest association of severe acute respiratory syndrome 
coronavirus 2 (SARS-CoV-2) infection with the development of many liver ...",,,,Bot,,,,
Diverse Functional Autoantibodies in Patients with COVID-19 | Nature,https://www.nature.com/articles/s41586-021-03631-y,Nature,General,"5/18/2021, 5:00:00 PM","22 hours ago ... COVID-19 manifests with a wide spectrum of clinical phenotypes that are 
characterized by exaggerated and misdirected host immune responses1–6.",,,,Bot,,,,
Cross-reactive serum and memory B-cell responses to spike protein ...,https://www.nature.com/articles/s41467-021-23074-3,Nature,General,"5/18/2021, 5:00:00 PM","22 hours ago ... The rationale was that the pre-pandemic donor cross-reactive responses in 
COVID-19 donors could have originated from endemic HCoV infection. 
Additinally, the ...",,,,Bot,,,,
"Fukushima's wastewater, pandemic response and COVID treatments",https://www.nature.com/articles/d41586-021-01315-1,Nature,General,"5/18/2021, 5:00:00 PM","23 hours ago ... According to China's state news agency Xinhua, Chinese scientists also objected
, with Liu Senlin at the China Institute of Atomic Energy in Beijing describing it as 
“ ...",,,,Bot,,,,
The Multisystem Inflammatory Syndrome in Adults With SARS-CoV ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779960,JAMA,US,"5/3/2021, 12:00:00 AM","16 hours ago ... The COVID-19 pandemic has upended our societal status quo. SARS-CoV-2, the 
virus responsible for COVID-19, has led to a myriad of clinical presentations, ...",,,,Bot,,,,
Characteristics Associated With Multisystem Inflammatory Syndrome ...,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2779957,JAMA,US,,"16 hours ago ... Introduction. A postacute COVID-19 multisystem inflammatory syndrome (MIS) 
has been recognized as a rare, yet severe, complication of SARS-CoV-2 infection
.",,,,Bot,,,,
Thrombotic Thrombocytopenia after Ad26.COV2.S Vaccination ...,https://www.nejm.org/doi/full/10.1056/NEJMc2106075,New England Journal of Medicine,General,"4/15/2021, 5:00:00 PM","4 hours ago ... ... Manufacturer's Response The manufacturer of the Ad26.COV2.S vaccine 
against Covid-19 comments on recent reports of thrombosis, including ...",,,,Bot,,,,
Early Evidence of the Effect of SARS-CoV-2 Vaccine at One Medical ...,https://www.nejm.org/doi/full/10.1056/NEJMc2102153,New England Journal of Medicine,General,"3/22/2021, 5:00:00 PM","4 hours ago ... Effectiveness of Covid-19 Vaccination in Health Care Workers at Four Institutions. 
Emergency use authorizations for two messenger RNA (mRNA) vaccines ...",,,,Bot,,,,
